Job Title,Company Name,Job Location,Skills Required,Date Posted
Analyst,Mustashar Accelerator  مسرعة مستشار ,"Riyadh, Saudi Arabia",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · Information Technology (IT) · Computer Science · Business Analysis · Finance · Accounting · Microsoft Office,19 days ago

Market Analyst,inoi ,"Dubai, United Arab Emirates",Full TimeNot specified · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Marketing · Market Research · Analysis · Research · Analyst · Business Analysis · Economics,20 days ago

Big Data Consultant,Exco Egypt ,"Nasr City, Cairo, Egypt",Full TimeOn-siteManager · 10 - 16 Yrs of Exp · males_preferred · Analyst/Research · Strategy/Consulting · Big Data · Analysis · Data Management · Computer Engineering · Data Science,15 days ago

Implementation Analyst,Boston Consulting Group (BCG) ,"Riyadh, Saudi Arabia",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · software development · sql · analysis · engineering · agile,20 days ago

Global Supply Chain Analyst,Lucy Electric ,"Dubai, United Arab Emirates",Full TimeEntry Level · Logistics/Supply Chain · Analyst/Research · Engineering - Mechanical/Electrical · Supply Chain · Logistics · Analysis · Microsoft Office · Commerce · Data Analysis · English,21 days ago

Data Allocation Specialist / Data Entry,Selah ElTelmeez For Publishing & printing ,"Obour City, Cairo, Egypt",Full TimeOn-siteEntry Level · 0 - 1 Yrs of Exp · Administration · Analyst/Research · Writing · Editing · Typing · Data Entry · Microsoft Office · Administration · Typing Skills · English,17 days ago

Analyst III Business Process Transactions,DXC Technology ,"Riyadh, Saudi Arabia",Full TimeExperienced · Accounting/Finance · IT/Software Development · Analyst/Research · finance · accounting · information technology (it) · computer science · analysis · business · management,22 days ago

Pricing Analyst,DSV  Global Transport and Logistics ,"Kuwait City, Kuwait",Full TimeExperienced · Accounting/Finance · Analyst/Research · Strategy/Consulting · Accounting · Finance · Analysis · Economics · Microsoft Office · Pricing · Tax,25 days ago

Pricing Analyst 3,GovCIO ,"Kuwait City, Kuwait",Full TimeExperienced · Accounting/Finance · IT/Software Development · Analyst/Research · Accounting · Computer Science · Finance · Analysis · Economics · Information Technology (IT) · Linux,26 days ago

